time,value,PowerTranfer,peak,mean,t_stablility,stability
0.0,164.40441651946648,4100.670709901298,183.2033453119576,163.24100206635936,60.0,0.0
0.005,164.4044165195139,4100.671589404299,,,,
0.01,164.40441652727827,4100.672567773318,,,,
0.017,164.40441657455082,4100.673380865908,,,,
0.027,164.40441670609312,4100.670520012547,,,,
0.037,164.4044170451149,4100.662765313519,,,,
0.047,164.4044177792473,4100.651207343623,,,,
0.057,164.4044189513397,4100.635792025284,,,,
0.067,164.40442047206173,4100.61645354364,,,,
0.077,164.40442215445847,4100.592696352138,,,,
0.087,164.40442370175046,4100.564433198415,,,,
0.097,164.40442470430716,4100.531134600866,,,,
0.1,164.40442468197242,4100.518302968611,,,,
0.1,164.40442468197242,4100.518302968611,,,,
0.102,164.4046636551761,2714.60635362032,,,,
0.107,164.40541534139263,1201.1328070096372,,,,
0.114,164.40717781997768,1197.6411919492773,,,,
0.124,164.4114910267707,1194.1528552856278,,,,
0.134,164.4185802744988,1192.9590223367695,,,,
0.144,164.42881861415117,1193.6736326045907,,,,
0.154,164.44254540700865,1195.99005820212,,,,
0.164,164.46008392369072,1199.6588640714106,,,,
0.174,164.4817479015452,1204.454402648481,,,,
0.18,164.49699052710943,1207.809137325485,,,,
0.182,164.50399284486687,2743.2968246468663,,,,
0.187,164.5183659567146,4177.684404908764,,,,
0.194,164.53850939549096,4200.829296008014,,,,
0.204,164.57066731244942,4234.907405148841,,,,
0.214,164.60574271578506,4267.169690260788,,,,
0.224,164.64379825359828,4297.169183421609,,,,
0.234,164.68496667186315,4324.79683068744,,,,
0.244,164.72943317341753,4350.107006173059,,,,
0.254,164.77742173502844,4373.225755070709,,,,
0.264,164.8291758722737,4394.313211041827,,,,
0.274,164.8849661474358,4413.513668014208,,,,
0.284,164.9450874030306,4430.989313659588,,,,
0.294,165.0098228265667,4446.893177110873,,,,
0.304,165.07944328923816,4461.335019190788,,,,
0.314,165.1542332875512,4474.3763510984245,,,,
0.324,165.23446415567705,4486.127496392224,,,,
0.334,165.32039595439795,4496.607714372109,,,,
0.344,165.4122820190892,4505.896648700916,,,,
0.354,165.51035125475994,4514.025010830224,,,,
0.364,165.61482276666993,4521.031837287805,,,,
0.374,165.72589965486722,4526.953191765795,,,,
0.384,165.8437682544771,4531.824988685303,,,,
0.394,165.96859756499316,4535.6835539278845,,,,
0.404,166.1005387976524,4538.565828686177,,,,
0.414,166.23972501481862,4540.512979841559,,,,
0.424,166.386270833078,4541.567120311819,,,,
0.439,166.6201148510393,4541.582395327978,,,,
0.454,166.87097638879507,4539.855650886051,,,,
0.469,167.13898934792246,4536.555626547304,,,,
0.484,167.42420154754203,4531.8625995119255,,,,
0.499,167.72656154693314,4525.959396529182,,,,
0.514,168.04591760590745,4519.029988529315,,,,
0.529,168.3819976552691,4511.252743734989,,,,
0.544,168.7344483347168,4502.803455164789,,,,
0.559,169.1028338450263,4493.843147846046,,,,
0.574,169.486612963355,4484.528728616047,,,,
0.589,169.88512569638107,4474.996395728025,,,,
0.604,170.29759488937017,4465.382211830172,,,,
0.619,170.7231617976548,4455.803038432374,,,,
0.634,171.16087079285936,4446.361110791093,,,,
0.649,171.6096717304037,4437.1444373252625,,,,
0.664,172.06842319652802,4428.224306820775,,,,
0.679,172.5358964418905,4419.657540146112,,,,
0.694,173.01078003377944,4411.488123526726,,,,
0.709,173.49168515235283,4403.745912454575,,,,
0.724,173.97715156375023,4396.444124854992,,,,
0.739,174.46565431488702,4389.579072245928,,,,
0.754,174.95561104932355,4383.132367216971,,,,
0.769,175.4453899207335,4377.073091593244,,,,
0.784,175.93332299255212,4371.360494991777,,,,
0.799,176.4177069056056,4365.947129649669,,,,
0.814,176.89681068871388,4360.781882092842,,,,
0.829,177.36889384004454,4355.812714837923,,,,
0.844,177.83221306410246,4350.990011778014,,,,
