line,Load_scale,PowerTranfer,peak,t_stablility,stability
Area1-Area2,400.0MW,2149.2991785448507,146.2537429863607,13.788,1
Area1-Area2,200.0MW,1944.6747701916686,142.86688822124657,13.666,1
Area1-Area2,0.0MW,1741.1528582687454,139.61370469182975,12.133,1
Area1-Area2,600.0MW,2355.1336701241416,149.78858924542035,13.839,1
Area1-Area2,1000.0MW,2771.012826586958,157.49114502141947,24.805,0
Area1-Area2,800.0MW,2562.286147941902,153.50210947783216,20.004,0
Area1-Area2,1200.0MW,2982.2067750811384,161.90248880093978,29.742,0
Area1-Area2,1600.0MW,3417.4857834030795,173.8199885952551,39.141,0
Area1-Area2,1400.0MW,3196.54510206291,167.0120136993585,33.816,0
Area2-Area3,600.0MW,2359.591032586279,164.2181873680969,9.172,0
Area2-Area3,400.0MW,2127.2754490633943,180.44548602480162,7.092,0
Area2-Area3,1400.0MW,3324.143283801576,185.8556944537421,9.712,0
Area2-Area3,1600.0MW,3586.8069637310823,196.55377200143806,9.652,0
Area2-Area3,1800.0MW,3890.465804862599,212.56713683794987,9.772,0
