Gen,Substation,Excitation
sym_1032_C,FCNGN4CC,136.3592268070659
sym_1032_G,FCNGN4CC,55.259704571925084
sym_1032_S,FCNGN4CC,0.0
sym_1034_C,SJUAN G4,0.0
sym_1034_G,SJUAN G4,4.517448391962673
sym_1034_W,SJUAN G4,12.843759993833274
sym_1131_C,CORONADO,0.0
sym_1131_G,CORONADO,0.0
sym_1232_C,NAVAJO 2,0.0
sym_1232_H,NAVAJO 2,0.0
sym_1331_G,HOOVER,7.960028864286363
sym_1331_H,HOOVER,0.0
sym_1333_C,H ALLEN,0.0
sym_1333_G,H ALLEN,0.0
sym_1333_S,H ALLEN,0.0
sym_1431_G,PALOVRD2,8.017985962566526
sym_1431_N,PALOVRD2,26.866043729092453
sym_1431_S,PALOVRD2,0.0
sym_2030_E,MEXICO,19.05975807238825
sym_2030_G,MEXICO,8.894553767114502
sym_2130_E,IMPERIAL,22.068614778862944
sym_2130_G,IMPERIAL,11.990400411400232
sym_2130_H,IMPERIAL,0.0
sym_2130_S,IMPERIAL,0.0
sym_2233_DG,MISSION,58.68514410490698
sym_2233_EG,MISSION,66.40721731409569
sym_2233_TG,MISSION,9.064157770054784
sym_2332_S,IMPRLVLY,0.0
sym_2431_S,LUGO,0.0
sym_2434_S,VINCENT,0.0
sym_2438_EG,MESA CAL,0.0
sym_2438_ND,MESA CAL,0.0
sym_2438_RG,MESA CAL,37.58488200451459
sym_2438_S,MESA CAL,0.0
sym_2438_SG,MESA CAL,37.56541387113481
sym_2438_SH,MESA CAL,0.0
sym_2438_SW,MESA CAL,0.0
sym_2438_WG,MESA CAL,86.25923553416047
sym_2439_S,MIRALOMA,0.0
sym_2533_S,S.ONOFRE,0.0
sym_2630_G,HAYNES3G,59.83428944037765
sym_2631_S,OLIVE,0.0
sym_2634_C,INTERM1G,0.0
sym_2637_H,OWENS G,124.4646929616156
sym_2638_H,CASTAI4G,0.0
sym_3133_NG,SANMATEO,0.0
sym_3133_SC,SANMATEO,0.0
sym_3135_MG,POTRERO,0.0
sym_3135_NG,POTRERO,77.97875531339183
sym_3234_DG,PITSBURG,31.18905237838787
sym_3234_MG,PITSBURG,0.0
sym_3234_NG,PITSBURG,31.188974069157325
sym_3234_NW,PITSBURG,33.762634385403636
sym_3333_CG,METCALF,11.264182662425808
sym_3333_NG,METCALF,9.719626700416484
sym_3432_NP,HELMS PP,0.0
sym_3433_NG,MC CALL,13.790948789482627
sym_3433_S,MC CALL,0.0
sym_3531_CE,FULTON,0.0
sym_3531_NE,FULTON,40.09928577392298
sym_3531_NH,FULTON,0.0
sym_3631_NB,HUMBOLDT,43.55830511334073
sym_3631_NG,HUMBOLDT,43.61073175841387
sym_3731_NH,SUMMIT,325.5812029301132
sym_3831_NN,DIABLO1,13.268620631257763
sym_3835_ND,MIDWAY,39.3725336013061
sym_3835_NG,MIDWAY,17.952855704155134
sym_3835_S,MIDWAY,0.0
sym_3836_DG,MORROBAY,65.73978486376268
sym_3931_NB,ROUND MT,26.11333829365422
sym_3931_NH,ROUND MT,16.670898725590476
sym_3932_S,MOSSLAND,0.0
sym_3933_CG,TESLA,6.810676015981159
sym_3933_NB,TESLA,6.8087521366537205
sym_3933_ND,TESLA,0.0
sym_3933_NG,TESLA,7.4059928116139
sym_3933_NH,TESLA,3.8769446227108837
sym_3933_NW,TESLA,7.714249118209953
sym_3933_S,TESLA,0.0
sym_4031_G,MALIN,286.1099803521738
sym_4031_H,MALIN,0.0
sym_4031_S,MALIN,0.0
sym_4031_W,MALIN,0.0
sym_4035_C,JOHN DAY,230.73804571104338
sym_4035_G,JOHN DAY,61.89639311808022
sym_4035_H,JOHN DAY,172.03556360822597
sym_4035_W,JOHN DAY,99.34229962726711
sym_4039_G,DALLES21,213.77961686042642
sym_4039_H,DALLES21,398.40566406766976
sym_4039_W,DALLES21,157.4780855225995
sym_4131_B,COULEE,3.7166185067754465
sym_4131_H,COULEE,3.6267106177277686
sym_4131_W,COULEE,3.792633085098853
sym_4132_G,HANFORD,0.0
sym_4132_H,HANFORD,71.97388116893521
sym_4132_N,HANFORD,86.27400414006303
sym_4132_W,HANFORD,67.23600308501462
sym_4231_C,NORTH G3,0.0
sym_4231_G,NORTH G3,8.447280332475
sym_4231_H,NORTH G3,21.060249274737703
sym_4232_G,WCASCADE,0.0
sym_4232_H,WCASCADE,113.4407251991491
sym_4232_W,WCASCADE,79.4085112534938
sym_5031_G,CANAD G1,30.46283155649646
sym_5031_H,CANAD G1,51.61428943446336
sym_5032_C,CMAIN GM,74.95033674078505
sym_5032_G,CMAIN GM,32.26667243144245
sym_5032_R,CMAIN GM,0.0
sym_5032_S,CMAIN GM,0.0
sym_5032_W,CMAIN GM,62.385444508011645
sym_6132_B,MIDPOINT,0.0
sym_6132_G,MIDPOINT,0.0
sym_6132_H,MIDPOINT,0.0
sym_6132_S,MIDPOINT,0.0
sym_6132_W,MIDPOINT,58.81907351649337
sym_6231_C,COLSTRP,92.58480823989983
sym_6231_G,COLSTRP,0.0
sym_6235_G,MONTA G1,0.0
sym_6235_H,MONTA G1,0.0
sym_6235_W,MONTA G1,40.013724451206016
sym_6333_C,BRIDGER,17.118851882003856
sym_6333_W,BRIDGER,22.46993044992945
sym_6335_C,NAUGHT,0.0
sym_6335_G,NAUGHT,44.19570748566347
sym_6335_H,NAUGHT,0.0
sym_6433_C,VALMY,0.0
sym_6433_E,VALMY,52.171249879307254
sym_6433_G,VALMY,0.0
sym_6433_W,VALMY,78.24831673920224
sym_6533_C,EMERY,0.0
sym_6533_G,EMERY,68.97780328363513
sym_6533_H,EMERY,0.0
sym_6533_S,EMERY,0.0
sym_6533_W,EMERY,196.26422562477484
sym_7031_C,COLOEAST,0.0
sym_7031_G,COLOEAST,27.531120492160493
sym_7031_P,COLOEAST,9.400521405884158
sym_7031_SC,COLOEAST,0.0
sym_7031_W,COLOEAST,24.02086683593843
sym_7032_C,CRAIG,0.0
sym_7032_G,CRAIG,30.47419276540046
sym_7032_H,CRAIG,0.0
sym_7032_S,CRAIG,0.0
sym_8033_H,COTWDWAP,0.0
sym_8034_G,RNCHSECO,9.536318379942257
sym_8034_H,RNCHSECO,0.0
