time,value,PowerTranfer,peak,mean,t_stablility,stability
0.0,125.50727902053426,854.7178899381065,128.10096710939578,125.59454592354648,33.882,0.0
0.01,125.50727904606748,854.7178924999116,,,,
0.02,125.50727920512428,854.7178921618213,,,,
0.03,125.50727970538134,854.7178908810943,,,,
0.04,125.50728081646332,854.7178889398887,,,,
0.05,125.50728284072348,854.7178862985463,,,,
0.06,125.50728610398852,854.7178829241918,,,,
0.07,125.50729094876912,854.7178787655982,,,,
0.08,125.50729772836564,854.7178737567245,,,,
0.09,125.50730680188454,854.7178678178267,,,,
0.1,125.50731852948729,854.7178608605893,,,,
0.11,125.50733326786555,854.7178527823386,,,,
0.125,125.50736183857096,854.7178391029141,,,,
0.14,125.50739910864293,854.7178216192353,,,,
0.155,125.50744614649626,854.7178003564362,,,,
0.17,125.50750393688955,854.7177748070777,,,,
0.185,125.5075733734713,854.7177443296968,,,,
0.2,125.50765525220842,854.7177082228787,,,,
0.215,125.5077502727608,854.717665706884,,,,
0.23,125.50785904575383,854.7176159167724,,,,
0.245,125.50798210170666,854.7175579142959,,,,
0.26,125.50811990307457,854.7174906795949,,,,
0.275,125.5082728604076,854.7174131028165,,,,
0.297,125.50853160623113,854.7172821446692,,,,
0.32,125.5088265596187,854.7171150358176,,,,
0.342,125.5091589739431,854.7169121028056,,,,
0.365,125.50953019741193,854.7166686203402,,,,
0.387,125.50994174763595,854.7163784385465,,,,
0.41,125.51039534456804,854.7160351752378,,,,
0.432,125.51089291445973,854.7156318829669,,,,
0.455,125.51143657124047,854.7151608610726,,,,
0.477,125.51202854533058,854.71461409116,,,,
0.5,125.51267111205647,854.7139829328148,,,,
0.522,125.51336649810182,854.7132581607653,,,,
0.556,125.51451379970362,854.7120406089774,,,,
0.59,125.51579155425884,854.7104979056049,,,,
0.624,125.5172045225908,854.708647105001,,,,
0.657,125.51875501120914,854.7064532726857,,,,
0.691,125.52044331016955,854.7038698130117,,,,
0.725,125.52226779312709,854.7008564260833,,,,
0.759,125.52422614327287,854.6973645318358,,,,
0.792,125.52631524561455,854.6933484752817,,,,
0.826,125.52852754175115,854.6884606831793,,,,
0.86,125.5308603773093,854.6835652218324,,,,
0.894,125.53331726051836,854.6773412231246,,,,
0.944,125.53722766394807,854.6671631383639,,,,
0.995,125.54139685428208,854.6552475666072,,,,
1.0,125.54183330696515,854.6538809918271,,,,
1.005,125.5422973766052,475.05506368421607,,,,
1.012,125.54296677444253,467.926393948578,,,,
1.022,125.54407449964185,459.96487465256445,,,,
1.032,125.54534256387551,455.3799880045045,,,,
1.042,125.54677981139605,453.23126618089066,,,,
1.052,125.54838645187544,452.9839892492396,,,,
1.062,125.55018561788859,454.0349719550585,,,,
1.072,125.55220167415467,456.3217301636504,,,,
1.08,125.55405540008677,459.04004284313237,,,,
1.085,125.55523818587741,1180.660234174297,,,,
1.092,125.55685331581009,1208.8988261785532,,,,
1.102,125.55935583688476,1246.3787530028183,,,,
1.112,125.56198496189718,1277.882764342866,,,,
1.122,125.56474964314813,1305.1199173864786,,,,
1.132,125.56765851604942,1329.2136296316094,,,,
1.142,125.57072018414867,1350.984072456121,,,,
1.152,125.57394230397847,1370.9776496423124,,,,
