line,Load_scale,PowerTranfer,peak,t_stablility,stability
NhoQuan-HaTinh,400.0MW,1758.5195702514952,126.93053489809358,40.852,0
NhoQuan-HaTinh,0.0MW,1311.844344615878,126.61661019937262,40.737,0
NhoQuan-HaTinh,500.0MW,1873.4734185741172,130.32074461810356,35.402,0
NhoQuan-HaTinh,100.0MW,1418.7648314927392,126.55811146257989,47.552,0
NhoQuan-HaTinh,300.0MW,1644.4760986699298,126.4649979915212,41.017,0
NhoQuan-HaTinh,200.0MW,1531.1851383881683,126.50932805586307,40.827,0
NhoQuan-HaTinh,600.0MW,1989.1942065684593,134.0331215169251,35.647,0
NhoQuan-HaTinh,1000.0MW,2461.212466130368,149.5999790221091,36.862,0
NhoQuan-HaTinh,900.0MW,2341.818694630507,145.5918627407013,36.757,0
NhoQuan-HaTinh,800.0MW,2223.3552835253668,141.6712683991903,42.597,0
NhoQuan-HaTinh,700.0MW,2105.8692924692073,137.82602289968585,36.302,0
NhoQuan-HaTinh,1100.0MW,2581.48885486749,153.68919766409076,37.362,0
NhoQuan-HaTinh,1200.0MW,2702.813666204609,157.87524035902612,37.537,0
NhoQuan-HaTinh,1300.0MW,2825.071169611426,162.17177130343265,45.072,0
NhoQuan-HaTinh,1400.0MW,2948.433274214513,166.5907921922124,45.238,0
NhoQuan-HaTinh,1500.0MW,3072.7860200955593,171.15214338375887,45.955,0
NhoQuan-HaTinh,1600.0MW,3198.3176263175865,175.88106295614264,54.752,0
NhoQuan-HaTinh,1700.0MW,3324.9729040130787,180.77137009887014,55.504,0
NhoQuan-HaTinh,1800.0MW,3452.7245731693174,185.91418001817516,59.702,0
NhoQuan-HaTinh,1900.0MW,3581.764694761506,191.34583460555535,60.0,0
NhoQuan-HaTinh,2000.0MW,3711.9879883260546,197.08068160861433,60.0,0
NhoQuan-HaTinh,2300.0MW,4110.895747440907,359.9952822088586,55.312,0
NhoQuan-HaTinh,2400.0MW,4246.711357588818,359.8915092618673,55.589,0
NhoQuan-HaTinh,2100.0MW,3843.5975928044336,207.74348610118233,60.0,0
NhoQuan-HaTinh,2200.0MW,3976.4945248491194,359.92210655711244,60.0,0
NhoQuan-HaTinh,2700.0MW,4664.082474512421,359.9681688677506,60.0,0
NhoQuan-HaTinh,2600.0MW,4523.30591478504,359.959414167222,60.0,0
NhoQuan-HaTinh,2500.0MW,4384.176157807354,359.99324029581675,60.0,0
DaNang-Pleiku,0.0MW,637.5564212429783,126.68286770678947,60.0,0
DaNang-Pleiku,100.0MW,689.5382140599562,126.63148156844247,52.564,0
NhoQuan-HaTinh,3000.0MW,5098.291415500248,359.92896367308896,60.0,0
NhoQuan-HaTinh,2800.0MW,4806.821254425193,359.972179878214,60.0,0
NhoQuan-HaTinh,2900.0MW,4951.448975216779,359.9759742649336,60.0,0
DaNang-Pleiku,300.0MW,799.2730932611205,126.55763055776298,41.134,0
DaNang-Pleiku,200.0MW,744.1940540782429,126.59103833685788,40.799,0
DaNang-Pleiku,600.0MW,966.8652612358435,135.46583949442964,41.385,0
DaNang-Pleiku,400.0MW,854.7178899381065,128.10096710939578,33.882,0
DaNang-Pleiku,800.0MW,1080.7072337863667,143.32652271656224,43.543,0
DaNang-Pleiku,900.0MW,1138.3003736479118,147.37538521339806,36.832,0
DaNang-Pleiku,1000.0MW,1196.3457141037186,151.51144360869768,37.597,0
DaNang-Pleiku,500.0MW,910.6051923031491,131.62997175139267,36.092,0
DaNang-Pleiku,700.0MW,1023.5891800373798,139.3608553308099,36.102,0
DaNang-Pleiku,1100.0MW,1254.820039909118,155.7493764891869,42.934,0
DaNang-Pleiku,1200.0MW,1313.8039567589185,160.1013539407374,38.119,0
DaNang-Pleiku,1300.0MW,1373.241193016855,164.57300718397389,45.147,0
DaNang-Pleiku,1400.0MW,1433.215319042234,169.19436033697335,46.337,0
DaNang-Pleiku,1500.0MW,1493.6709265838285,173.95140852927253,54.237,0
DaNang-Pleiku,1600.0MW,1554.6995128305578,178.9354849803892,55.409,0
DaNang-Pleiku,1700.0MW,1616.2742385771753,184.14794043207735,59.902,0
DaNang-Pleiku,1800.0MW,1678.3818344270503,189.6330981156238,60.0,0
DaNang-Pleiku,1900.0MW,1741.1156620619618,195.46843047411383,60.0,0
DaNang-Pleiku,2000.0MW,1804.4245281632768,204.58524286908147,60.0,0
DaNang-Pleiku,2100.0MW,1868.4071783759073,359.90708893506076,60.0,0
DaNang-Pleiku,2200.0MW,1933.0154766907808,359.99323746678886,60.0,0
DaNang-Pleiku,2300.0MW,1998.3548853306304,359.9932426564586,54.729,0
DaNang-Pleiku,2600.0MW,2198.8474740763772,359.8029725812354,60.0,0
DaNang-Pleiku,2400.0MW,2064.3816832246494,359.8976481017121,60.0,0
DaNang-Pleiku,2700.0MW,2267.2852542594187,359.9293618714134,60.0,0
DaNang-Pleiku,2500.0MW,2131.2100003603173,359.9781574103355,59.488,0
DaNang-Pleiku,2900.0MW,2406.9859882633687,359.926685397948,60.0,0
DaNang-Pleiku,3000.0MW,2478.371609699567,359.9822029146915,60.0,0
DaNang-Pleiku,2800.0MW,2336.6766441000395,359.8186864582298,60.0,0
