line,SubStart,SubEnd,Type,longstart,latstart,longend,latend
lne_1201_2901_1,ELDORADO,MOENKOPI,500,-120.4357631,38.7426376,-111.2223624,36.1111043
lne_3802_3891_1,GATES1,GATES,500,-111.0937311,34.0489281,-118.3765336,33.87874241
lne_3896_3897_1,MIDWAY6,MIDWAY5,500,-111.0937311,34.0489281,-114.6569667,33.5775495
lne_3802_3901_1,GATES,LOSBANOS,500,-118.3765336,33.87874241,-120.8499151,37.0582786
lne_4101_4102_1,HANFORD,COULEE,500,-119.386667,46.583889,-119.0120921,47.9391662
lne_4101_4201_1,NORTH,COULEE,500,-119.80464,47.81276157,-119.0120921,47.9391662
lne_4095_4096_1,GRIZZLY5,GRIZZLY6,500,-120.8895561,44.53048143,-120.8895561,44.53048143
lne_4004_4091_1,GRIZZLY,GRIZZLY1,500,-120.9197543,44.4979032,-120.9182374,44.50086278
lne_4002_4090_1,MALIN1,SUMMER L,500,-121.4120237,42.01142526,-120.5542012,43.8041334
lne_1301_2603_1,VICTORVL,MEAD,500,-117.2927641,34.5362184,-112.075042,33.46840412
lne_2401_2402_1,LUGO,MIRALOMA,500,-117.3422682,34.3672238,-117.5159449,33.9845417
lne_2601_2603_1,VICTORVL,RINALDI,500,-117.2927641,34.5362184,-118.5272048,34.27882352
lne_1401_2400_1,DEVERS,PALOVRDE,500,-116.5842212,34.04372201,-112.6777087,33.3483711
lne_1301_2901_1,ELDORADO,MEAD,500,-120.4357631,38.7426376,-112.075042,33.46840412
lne_2603_2901_1,VICTORVL,ELDORADO,500,-117.2927641,34.5362184,-120.4357631,38.7426376
lne_4101_4201_2,NORTH,COULEE,500,-119.80464,47.81276157,-119.0120921,47.9391662
lne_3906_4001_2,MALIN,ROUND MT,500,-121.4086021,42.0126551,-121.9419412,40.7940442
lne_1001_1202_9,FOURCORN,NAVAJO,500,-111.0937311,34.0489281,-110.1402594,35.4019765
lne_1201_1402_1,MOENKOPI,WESTWING,500,-111.2223624,36.1111043,-112.2473434,33.727797
lne_2401_2603_1,VICTORVL,LUGO,500,-117.2927641,34.5362184,-117.3422682,34.3672238
lne_3801_3803_1,MIDWAY,DIABLO,500,-120.8895561,44.53048143,-121.9580149,37.8349258
lne_2401_2902_1,LUGO,MOHAVE,500,-117.3422682,34.3672238,-118.1706661,35.0475381
lne_2201_2301_1,IMPRLVLY,MIGUEL,500,-117.8612372,33.85153194,-117.7149438,33.5236744
lne_4092_4093_1,GRIZZLY2,GRIZZLY3,500,-120.9165031,44.50382374,-120.8895561,44.53048143
lne_4004_4095_1,GRIZZLY,GRIZZLY5,500,-120.9197543,44.4979032,-120.8895561,44.53048143
lne_4102_4202_1,HANFORD,WCASCADE,500,-119.386667,46.583889,-122.1623725,47.4431185
lne_3301_3903_1,TESLA,METCALF,500,-121.9447185,37.49263866,-121.7459388,37.2205289
lne_2401_2404_1,VINCENT,LUGO,500,-117.9227605,34.0982802,-117.3422682,34.3672238
lne_3801_3803_2,DIABLO,MIDWAY,500,-121.9580149,37.8349258,-120.8895561,44.53048143
lne_3903_3904_1,TESLA,VACA-DIX,500,-121.9447185,37.49263866,-121.8232958,38.4454641
lne_1401_1402_2,PALOVRDE,WESTWING,500,-112.6777087,33.3483711,-112.2473434,33.727797
lne_3906_4001_1,MALIN,ROUND MT,500,-121.4086021,42.0126551,-121.9419412,40.7940442
lne_2401_2402_2,LUGO,MIRALOMA,500,-117.3422682,34.3672238,-117.5159449,33.9845417
lne_1401_1402_1,PALOVRDE,WESTWING,500,-112.6777087,33.3483711,-112.2473434,33.727797
lne_3801_3802_1,DIABLO,GATES,500,-121.9580149,37.8349258,-118.3765336,33.87874241
lne_3901_3902_1,LOSBANOS,MOSSLAND,500,-120.8499151,37.0582786,-121.8770281,37.3813573
lne_4201_4202_1,NORTH,WCASCADE,500,-119.80464,47.81276157,-122.1623725,47.4431185
lne_4102_4201_1,HANFORD,NORTH,500,-119.386667,46.583889,-119.80464,47.81276157
lne_1301_1302_1,H ALLEN,MEAD,500,-116.419389,38.8026097,-112.075042,33.46840412
lne_4001_4094_1,GRIZZLY4,MALIN,500,-120.9441784,44.50728646,-121.4086021,42.0126551
lne_4005_4006_2,BIG EDDY,JOHN DAY,500,-123.1622078,45.9320709,-118.95301,44.4159883
lne_4001_4097_1,GRIZZLY7,MALIN,500,-120.9042441,44.47661929,-121.4086021,42.0126551
lne_3892_3893_1,MIDWAY2,MIDWAY1,500,-120.8895561,44.53048143,-116.4719291,35.03479706
lne_4201_5001_1,CANADA,NORTH,500,-122.3165957,49.1408426,-119.80464,47.81276157
lne_4004_4005_2,GRIZZLY,JOHN DAY,500,-120.9197543,44.4979032,-118.95301,44.4159883
lne_3905_3906_9,ROUND MT,TABLE MT,500,-121.9419412,40.7940442,-120.4331607,37.98493951
lne_1301_1402_1,MEAD,WESTWING,500,-112.075042,33.46840412,-112.2473434,33.727797
lne_4005_4006_1,BIG EDDY,JOHN DAY,500,-123.1622078,45.9320709,-118.95301,44.4159883
lne_2600_2603_2,ADELANTO,VICTORVL,500,-117.409215,34.5827699,-117.2927641,34.5362184
lne_4004_4005_1,GRIZZLY,JOHN DAY,500,-120.9197543,44.4979032,-118.95301,44.4159883
lne_1201_1202_1,MOENKOPI,NAVAJO,500,-111.2223624,36.1111043,-110.1402594,35.4019765
lne_3903_8002_1,TESLA,TRACY,500,-121.9447185,37.49263866,-121.4260018,37.7395818
lne_4005_4102_2,HANFORD,JOHN DAY,500,-119.386667,46.583889,-118.95301,44.4159883
lne_4001_4090_1,MALIN,MALIN1,500,-121.4086021,42.0126551,-121.4120237,42.01142526
lne_4001_8001_1,MALIN,OLINDA,500,-121.4086021,42.0126551,-117.9002918,33.916475
lne_2401_2901_1,LUGO,ELDORADO,500,-117.3422682,34.3672238,-120.4357631,38.7426376
lne_1202_1402_1,NAVAJO,WESTWING,500,-110.1402594,35.4019765,-112.2473434,33.727797
lne_1401_2301_1,IMPRLVLY,PALOVRDE,500,-117.8612372,33.85153194,-112.6777087,33.3483711
lne_4004_4092_1,GRIZZLY,GRIZZLY2,500,-120.9197543,44.4979032,-120.9165031,44.50382374
lne_4102_4202_2,HANFORD,WCASCADE,500,-119.386667,46.583889,-122.1623725,47.4431185
lne_2901_2902_1,ELDORADO,MOHAVE,500,-120.4357631,38.7426376,-118.1706661,35.0475381
lne_4006_4007_2,BIG EDDY,CELILOCA,500,-123.1622078,45.9320709,-120.9669133,45.6446058
lne_4101_4103_2,BELL,COULEE,500,-122.3436315,47.7465965,-119.0120921,47.9391662
lne_4006_4007_1,BIG EDDY,CELILOCA,500,-123.1622078,45.9320709,-120.9669133,45.6446058
lne_4005_4202_1,JOHN DAY,WCASCADE,500,-118.95301,44.4159883,-122.1623725,47.4431185
lne_4001_4204_1,MALIN,MERIDIAN,500,-121.4086021,42.0126551,-122.6222791,47.1244608
lne_5001_5002_1,CANALB,CANADA,500,-114.0332851,51.29192201,-122.3165957,49.1408426
lne_2400_2403_1,VALLEY,DEVERS,500,-122.2000778,40.20072756,-116.5842212,34.04372201
lne_2600_2601_1,ADELANTO,RINALDI,500,-117.409215,34.5827699,-118.5272048,34.27882352
lne_4004_4005_3,GRIZZLY,JOHN DAY,500,-120.9197543,44.4979032,-118.95301,44.4159883
lne_3904_3905_9,TABLE MT,VACA-DIX,500,-120.4331607,37.98493951,-121.8232958,38.4454641
lne_2600_2603_1,ADELANTO,VICTORVL,500,-117.409215,34.5827699,-117.2927641,34.5362184
lne_3894_3895_1,MIDWAY4,MIDWAY3,500,-120.8895561,44.53048143,-116.4714138,35.0327612
lne_2600_2602_1,ADELANTO,STA E,500,-117.409215,34.5827699,-118.4543517,34.0290136
lne_2403_2501_1,VALLEY,SERRANO,500,-122.2000778,40.20072756,-120.654615,35.334974
lne_4102_6202_1,HANFORD,GARRISON,500,-119.386667,46.583889,-112.81171,46.5232622
lne_3901_3903_1,TESLA,LOSBANOS,500,-121.9447185,37.49263866,-120.8499151,37.0582786
lne_3301_3902_1,METCALF,MOSSLAND,500,-121.7459388,37.2205289,-121.8770281,37.3813573
