Longitude,Latitude,Name,Code,Type
-123.8695086,40.7450055,HUMBOLDT,3601,115
-116.6130731,32.6047822,POTRERO,3105,115
-121.0138298,38.0529779,BELLOTA,3907,230
-121.4171753,38.5493505,BRIGHTON,3908,230
-119.2179324,35.778261,C.COSTA,3201,230
-120.0354197,49.24757852,CA230,5004,230
-120.0354197,49.24757852,CA230TO,,230
-118.6256552,34.4890363,CASTAIC,2608,230
-117.7157199,35.2552456,COLGATE,3909,230
-122.2909078,39.0189327,CORTINA,3910,230
-119.4179324,36.778261,COTWDPGE,3911,230
-118.2140883,34.1391568,EAGLROCK,2406,230
-119.4179324,36.778261,EMBRCDRD,3101,230
-122.7704616,38.4956463,FULTON,3501,230
-118.255075,34.1425078,GLENDAL,2609,230
-122.0138651,39.5218283,GLENN,3912,230
-120.8846603,38.7610132,GOLDHILL,3913,230
-119.93692,36.879608,GREGG,3401,230
-119.4179324,36.778261,HAYNES,2630,230
-122.2699515,37.8626152,HELMS PP,3432,230
-122.5385899,38.0701986,IGNACIO,3914,230
-118.3140488,34.0324579,JEFFERSN,3302,230
-119.5073942,38.5661947,LAKEVILE,3915,230
-120.2048046,34.64552661,LITEHIPE,2407,230
-119.4179324,36.778261,LOGAN CR,3916,230
-121.6102216,37.0849464,MARTIN,3102,230
-119.4179324,36.778261,MC CALL,3403,230
-118.54186,37.4174983,MESA CAL,2408,230
-102.552784,23.634501,MEXICO,2030,230
-118.2409101,34.5194362,MISSION,2233,230
-106.6236368,45.8841618,MONTANA,6203,230
-119.4179324,36.778261,MONTAVIS,3304,230
-122.1296871,37.8349263,MORAGA,3202,230
-120.8499924,35.3659445,MORROBAY,3806,230
-107.2902839,43.0759678,NAUGHTON,6305,230
-122.0383968,37.5299765,NEWARK,3203,230
-117.8461682,33.8361268,OLIVE,2611,230
-121.5380243,39.4354432,PALERMO,3919,230
-120.8337116,36.5969274,PANOCHE,3404,230
-118.5406413,34.4149964,PARDEE,2410,230
-121.8846806,38.0279762,PITSBURG,3204,230
-122.1352417,37.4763272,RAVENSWD,3305,230
-121.5436099,38.9572825,RIO OSO,3920,230
-119.4179324,36.778261,RIVER,2613,230
-119.6631676,36.38974578,RNCHSECO,8004,230
-119.4179324,36.778261,S.ONOFRE,2503,230
-122.3255254,37.5629917,SANMATEO,3103,230
-122.2952474,37.9771452,SOBRANTE,3205,230
-118.0853451,33.9472359,STA F,2616,230
-119.4179324,36.778261,STA G,2617,230
-121.9155878,37.29669568,STA J,2618,230
-118.4571974,34.3058279,SYLMAR S,2405,230
-118.4571974,34.3058279,SYLMARLA,2619,230
